student_id,course,branch,cgpa,skills,interests,projects,certifications,career_goal
S00024,M.Pharm,Pharmacy,9.4,"Pharmacology, Drug Formulation, Clinical Trials","Robotics, Data Science","Clinical Data Analytics, Drug Formulation Study, Pharma R&D Project","Advanced Pharmacology, Quality Assurance Certification, Clinical Data Management",Quality Assurance Engineer
S00025,B.Arch,Architecture,6.15,"3D Modeling, Revit, Architectural Design, SketchUp, AutoCAD","Urban Design, App Development","Urban Housing Layout, Bridge Design Simulation, 3D City Design","Revit Professional, Urban Design Certification",Architect
S00026,B.Pharm,Pharmacy,9.59,"Lab Techniques, Pharmaceutical Chemistry, Drug Safety, Quality Control, Biostatistics","Civil Planning, IoT","Clinical Research Report, Pharma Drug Stability Study, Tablet Dissolution Test","Drug Development Process, Clinical Research Certification, Pharma Quality Cert",Quality Assurance Engineer
S00027,B.Arch,Architecture,7.58,"Revit, Urban Planning, SketchUp","Product Management, Urban Design","Green Building Model, 3D City Design, Bridge Design Simulation","Urban Design Certification, 3DS Max Design",Architect
S00028,B.Tech,ME,8.01,"Cloud Computing, HTML, C++, CSS, JavaScript","App Development, Product Management","Loan Prediction Model, E-commerce Backend","Cisco Networking Basics, Microsoft Azure Fundamentals",Web Developer
S00029,B.Tech,Pharmacy,7.62,"Cloud Computing, SQL, CSS, AutoCAD, JavaScript",Web Development,"Loan Prediction Model, Chatbot Assistant","AWS Cloud Practitioner, Microsoft Azure Fundamentals",Web Developer
S00030,B.Tech,AI,6.97,"JavaScript, Java, Cloud Computing","Product Management, Cybersecurity","E-commerce Backend, Chatbot Assistant, Loan Prediction Model","Cisco Networking Basics, AWS Cloud Practitioner, Google Data Analytics",Web Developer
S00031,B.Arch,Architecture,8.99,"3D Modeling, SketchUp, Revit, Architectural Design, AutoCAD","App Development, Robotics","Bridge Design Simulation, Green Building Model, Urban Housing Layout","Revit Professional, Autodesk AutoCAD Certification",Architect
S00032,M.Tech,EEE,6.25,"Data Analysis, PyTorch, TensorFlow, Big Data",App Development,"NLP Chatbot System, Smart Grid Simulation, AI-based Energy Optimization","Big Data Hadoop, TensorFlow Developer, IBM AI Engineering",Data Analyst
S00033,M.Pharm,Pharmacy,9.48,"Quality Assurance, Drug Formulation, Clinical Trials, Pharmacology","IoT, Cybersecurity","Drug Formulation Study, Pharma R&D Project","Quality Assurance Certification, Advanced Pharmacology, Clinical Data Management",Quality Assurance Engineer
S00034,MCA,AI,6.11,"Node.js, Data Structures, Java, Web Development","Web Development, Cybersecurity","Web Application System, Online Exam Portal","Full Stack Developer Cert, Meta Front-End Developer, Coursera Python for Everybody",Web Developer
S00035,M.Pharm,Pharmacy,9.43,"Clinical Trials, Research, Pharmacology, Drug Formulation",Business Analytics,"Clinical Data Analytics, Drug Toxicity Analysis","Quality Assurance Certification, Advanced Pharmacology",Pharma Researcher
S00036,M.Tech,EEE,9.27,"Research, Deep Learning, AI, TensorFlow, Python",Cybersecurity,"Smart Grid Simulation, AI-based Energy Optimization, NLP Chatbot System","Deep Learning Specialization, TensorFlow Developer",AI Engineer
S00037,B.Arch,Architecture,8.25,"3D Modeling, SketchUp, AutoCAD, Revit",Data Science,"Urban Housing Layout, Bridge Design Simulation, Green Building Model","Urban Design Certification, 3DS Max Design, Revit Professional",Architect
S00038,B.Pharm,Pharmacy,7.33,"Biostatistics, Pharmaceutical Chemistry, Quality Control, Lab Techniques","Business Analytics, Web Development","Pharma Drug Stability Study, Tablet Dissolution Test, Clinical Research Report","Clinical Research Certification, Drug Development Process, Pharma Quality Cert",Quality Assurance Engineer
S00039,M.Pharm,Pharmacy,9.65,"Clinical Trials, Drug Formulation, Quality Assurance, Research","AI, Cybersecurity","Pharma R&D Project, Drug Formulation Study, Drug Toxicity Analysis","Clinical Data Management, Quality Assurance Certification, Advanced Pharmacology",Pharma Researcher
S00040,B.Pharm,Pharmacy,9.43,"Pharmaceutical Chemistry, Quality Control, Drug Safety, Lab Techniques, Biostatistics","Networking, App Development","Clinical Research Report, Tablet Dissolution Test, Pharma Drug Stability Study","Pharma Quality Cert, Clinical Research Certification",Quality Assurance Engineer
S00041,B.Pharm,Pharmacy,6.95,"Drug Safety, Lab Techniques, Quality Control, Biostatistics, Pharmaceutical Chemistry","Civil Planning, Business Analytics","Tablet Dissolution Test, Clinical Research Report, Pharma Drug Stability Study","Pharma Quality Cert, Drug Development Process",Quality Assurance Engineer
S00042,B.Pharm,Pharmacy,8.09,"Quality Control, Drug Safety, Pharmaceutical Chemistry, Biostatistics, Lab Techniques","Data Science, App Development","Pharma Drug Stability Study, Tablet Dissolution Test, Clinical Research Report","Pharma Quality Cert, Drug Development Process, Clinical Research Certification",Data Analyst
S00043,MCA,ME,8.72,"Web Development, React, Java",Urban Design,"React Dashboard, Online Exam Portal, Inventory Management System","Meta Front-End Developer, Coursera Python for Everybody, Full Stack Developer Cert",Web Developer
S00044,MBA,IT,9.21,"Project Management, Excel, Leadership, SQL",Product Management,"Market Analysis Project, Finance Forecasting Model, HR Analytics","Digital Marketing Certification, Google Business Analytics, Six Sigma",Product Manager
S00045,MBA,ME,9.35,"Digital Marketing, Leadership, Excel, SQL",Product Management,"Startup Business Plan, Finance Forecasting Model","Digital Marketing Certification, Project Management Professional",Product Manager
S00046,B.Tech,ECE,6.01,"Cloud Computing, JavaScript, Machine Learning, Python",Robotics,"Chatbot Assistant, Loan Prediction Model, IoT Home Automation","Microsoft Azure Fundamentals, Cisco Networking Basics",AI Engineer
S00047,M.Pharm,Pharmacy,9.64,"Pharmacology, Drug Formulation, Research, Quality Assurance","Web Development, Data Science","Pharma R&D Project, Drug Formulation Study","Clinical Data Management, Advanced Pharmacology, Quality Assurance Certification",Pharma Researcher
S00048,B.Pharm,Pharmacy,7.57,"Drug Safety, Biostatistics, Quality Control, Pharmaceutical Chemistry",IoT,"Clinical Research Report, Tablet Dissolution Test, Pharma Drug Stability Study","Pharma Quality Cert, Drug Development Process",Quality Assurance Engineer
S00049,B.Pharm,Pharmacy,9.2,"Pharmaceutical Chemistry, Quality Control, Biostatistics, Lab Techniques, Drug Safety",Urban Design,"Clinical Research Report, Tablet Dissolution Test, Pharma Drug Stability Study","Clinical Research Certification, Drug Development Process, Pharma Quality Cert",Quality Assurance Engineer
S00050,B.Tech,ECE,7.29,"JavaScript, Machine Learning, CSS, Cloud Computing, AutoCAD",Cybersecurity,"IoT Home Automation, E-commerce Backend","Google Data Analytics, AWS Cloud Practitioner, Cisco Networking Basics",AI Engineer
S00051,MCA,Pharmacy,7.61,"Node.js, Django, Data Structures","Pharma Research, Cybersecurity","Online Exam Portal, React Dashboard","Full Stack Developer Cert, Coursera Python for Everybody",Web Developer
S00052,MBA,IT,6.11,"Leadership, Business Analysis, SQL, Project Management, Excel","Data Science, App Development","Finance Forecasting Model, Market Analysis Project","Six Sigma, Google Business Analytics",Product Manager
S00053,B.Pharm,Pharmacy,7.07,"Biostatistics, Quality Control, Drug Safety, Pharmaceutical Chemistry","App Development, Urban Design","Pharma Drug Stability Study, Tablet Dissolution Test","Clinical Research Certification, Drug Development Process, Pharma Quality Cert",Quality Assurance Engineer
S00054,B.Arch,Architecture,9.27,"Urban Planning, 3D Modeling, SketchUp, Architectural Design, Revit","Civil Planning, Networking","Green Building Model, 3D City Design, Urban Housing Layout","Urban Design Certification, Autodesk AutoCAD Certification",Architect
S00055,MBA,CSE,7.24,"SQL, Project Management, Leadership, Digital Marketing",Cybersecurity,"Startup Business Plan, HR Analytics","Project Management Professional, Digital Marketing Certification, Six Sigma",Product Manager
S00056,MBA,CSE,8.82,"SQL, Business Analysis, Excel, Leadership","Civil Planning, Urban Design","Market Analysis Project, Startup Business Plan, HR Analytics","Six Sigma, Google Business Analytics, Project Management Professional",Product Manager
S00057,M.Tech,ME,9.89,"Deep Learning, TensorFlow, Python, Data Analysis, AI",Business Analytics,"AI-based Energy Optimization, NLP Chatbot System, Deep Learning Research","Deep Learning Specialization, IBM AI Engineering",AI Engineer
S00058,M.Tech,EEE,8.07,"Research, Deep Learning, AI, Python, TensorFlow",Cybersecurity,"Deep Learning Research, NLP Chatbot System","Big Data Hadoop, IBM AI Engineering, TensorFlow Developer",AI Engineer
S00059,MBA,ME,8.64,"Excel, Project Management, Digital Marketing","Pharma Research, IoT","Finance Forecasting Model, Startup Business Plan, Market Analysis Project","Six Sigma, Project Management Professional, Google Business Analytics",Product Manager
S00060,B.Arch,Architecture,8.24,"Revit, AutoCAD, 3D Modeling, SketchUp, Architectural Design",Urban Design,"Bridge Design Simulation, Urban Housing Layout, 3D City Design","Revit Professional, 3DS Max Design",Architect
S00061,M.Pharm,Pharmacy,8.81,"Drug Formulation, Pharmacology, Research, Clinical Trials, Quality Assurance","AI, Urban Design","Pharma R&D Project, Drug Toxicity Analysis, Drug Formulation Study","Quality Assurance Certification, Clinical Data Management, Advanced Pharmacology",Pharma Researcher
S00062,M.Pharm,Pharmacy,8.1,"Quality Assurance, Research, Pharmacology, Drug Formulation","Product Management, Robotics","Drug Toxicity Analysis, Pharma R&D Project, Drug Formulation Study","Advanced Pharmacology, Clinical Data Management",Pharma Researcher
S00063,M.Pharm,Pharmacy,8.17,"Clinical Trials, Pharmacology, Drug Formulation",Cybersecurity,"Clinical Data Analytics, Drug Formulation Study, Pharma R&D Project","Advanced Pharmacology, Quality Assurance Certification, Clinical Data Management",Cybersecurity Analyst
S00064,B.Arch,Architecture,9.57,"Urban Planning, AutoCAD, 3D Modeling","Pharma Research, IoT","3D City Design, Urban Housing Layout","3DS Max Design, Revit Professional",Architect
S00065,M.Tech,AI,6.53,"Data Analysis, Big Data, AI, PyTorch","Urban Design, Business Analytics","NLP Chatbot System, Smart Grid Simulation","Big Data Hadoop, Deep Learning Specialization",Data Analyst
S00066,B.Arch,Architecture,6.13,"SketchUp, 3D Modeling, Architectural Design, AutoCAD","Data Science, Pharma Research","Bridge Design Simulation, Urban Housing Layout, 3D City Design","Revit Professional, Autodesk AutoCAD Certification, Urban Design Certification",Architect
S00067,M.Tech,DS,9.79,"Data Analysis, Deep Learning, AI",Data Science,"Deep Learning Research, AI-based Energy Optimization","IBM AI Engineering, Deep Learning Specialization, TensorFlow Developer",AI Engineer
S00068,M.Tech,ECE,8.11,"Deep Learning, Data Analysis, Python",AI,"Deep Learning Research, Smart Grid Simulation, NLP Chatbot System","IBM AI Engineering, Big Data Hadoop",AI Engineer
S00069,B.Pharm,Pharmacy,7.64,"Pharmaceutical Chemistry, Biostatistics, Quality Control","Networking, Urban Design","Tablet Dissolution Test, Pharma Drug Stability Study","Drug Development Process, Clinical Research Certification",Quality Assurance Engineer
S00070,B.Tech,CSE,9.89,"CSS, C++, JavaScript, HTML","Data Science, Product Management","E-commerce Backend, Portfolio Website, Loan Prediction Model","Microsoft Azure Fundamentals, Cisco Networking Basics",Web Developer
S00071,MCA,CE,7.49,"Node.js, Django, React, Data Structures, Java",Pharma Research,"React Dashboard, Online Exam Portal","Full Stack Developer Cert, Coursera Python for Everybody",Web Developer
S00072,MBA,Architecture,8.85,"Project Management, Digital Marketing, Leadership, Business Analysis",Pharma Research,"Market Analysis Project, Finance Forecasting Model, HR Analytics","Six Sigma, Project Management Professional",Product Manager
S00073,B.Arch,Architecture,9.17,"AutoCAD, Architectural Design, Revit, 3D Modeling, Urban Planning","Civil Planning, Pharma Research","Urban Housing Layout, 3D City Design, Bridge Design Simulation","Autodesk AutoCAD Certification, 3DS Max Design, Urban Design Certification",Architect
S00074,MBA,EEE,9.3,"Leadership, Digital Marketing, Excel, Business Analysis",Product Management,"Market Analysis Project, HR Analytics, Startup Business Plan","Digital Marketing Certification, Six Sigma",Product Manager
S00075,B.Arch,Architecture,9.59,"AutoCAD, SketchUp, Architectural Design, Revit","Data Science, Web Development","Urban Housing Layout, Bridge Design Simulation","Urban Design Certification, Revit Professional",Architect
S00076,M.Tech,CE,7.22,"Deep Learning, Python, Big Data, Data Analysis",Pharma Research,"Smart Grid Simulation, Deep Learning Research","Big Data Hadoop, Deep Learning Specialization, IBM AI Engineering",AI Engineer
S00077,M.Tech,AI,6.44,"Deep Learning, Research, Data Analysis, PyTorch","Networking, Pharma Research","AI-based Energy Optimization, NLP Chatbot System, Deep Learning Research","TensorFlow Developer, Big Data Hadoop",AI Engineer
S00078,M.Tech,ECE,8.98,"Data Analysis, Python, AI, TensorFlow","Web Development, Product Management","Deep Learning Research, Smart Grid Simulation, NLP Chatbot System","Big Data Hadoop, Deep Learning Specialization",Web Developer
S00079,MBA,IT,9.36,"Project Management, Leadership, SQL, Digital Marketing, Business Analysis","Data Science, IoT","HR Analytics, Market Analysis Project","Google Business Analytics, Project Management Professional, Digital Marketing Certification",Product Manager
S00080,M.Tech,Architecture,8.3,"Deep Learning, TensorFlow, Research, Data Analysis, Big Data","Product Management, Web Development","AI-based Energy Optimization, Smart Grid Simulation","Deep Learning Specialization, IBM AI Engineering",AI Engineer
S00081,M.Pharm,Pharmacy,8.52,"Drug Formulation, Pharmacology, Clinical Trials","App Development, Web Development","Drug Toxicity Analysis, Drug Formulation Study","Clinical Data Management, Quality Assurance Certification, Advanced Pharmacology",Quality Assurance Engineer
S00082,B.Pharm,Pharmacy,7.23,"Pharmaceutical Chemistry, Biostatistics, Quality Control, Lab Techniques","Urban Design, AI","Clinical Research Report, Pharma Drug Stability Study, Tablet Dissolution Test","Clinical Research Certification, Pharma Quality Cert, Drug Development Process",Quality Assurance Engineer
S00083,B.Arch,Architecture,6.3,"Architectural Design, Urban Planning, 3D Modeling","Urban Design, Networking","Green Building Model, Bridge Design Simulation","3DS Max Design, Urban Design Certification",Architect
S00084,M.Tech,CSE,7.76,"Deep Learning, PyTorch, Data Analysis, Big Data",App Development,"NLP Chatbot System, Smart Grid Simulation, AI-based Energy Optimization","Deep Learning Specialization, IBM AI Engineering, Big Data Hadoop",AI Engineer
S00085,B.Arch,Architecture,8.65,"Urban Planning, Revit, AutoCAD","Data Science, Networking","Bridge Design Simulation, 3D City Design, Urban Housing Layout","Autodesk AutoCAD Certification, 3DS Max Design, Urban Design Certification",Architect
S00086,B.Arch,Architecture,9.77,"Urban Planning, 3D Modeling, SketchUp, Revit, AutoCAD","Networking, IoT","3D City Design, Bridge Design Simulation, Urban Housing Layout","3DS Max Design, Autodesk AutoCAD Certification, Revit Professional",Architect
S00087,M.Tech,CE,9.7,"TensorFlow, Deep Learning, AI, Data Analysis",Robotics,"AI-based Energy Optimization, Smart Grid Simulation","IBM AI Engineering, Deep Learning Specialization, Big Data Hadoop",AI Engineer
S00088,M.Tech,DS,9.16,"Big Data, Python, TensorFlow","Pharma Research, Business Analytics","NLP Chatbot System, Smart Grid Simulation","Big Data Hadoop, TensorFlow Developer, Deep Learning Specialization",Data Analyst
S00089,M.Pharm,Pharmacy,9.06,"Research, Clinical Trials, Drug Formulation","Product Management, IoT","Pharma R&D Project, Drug Toxicity Analysis, Clinical Data Analytics","Advanced Pharmacology, Clinical Data Management, Quality Assurance Certification",Pharma Researcher
S00090,B.Tech,AI,9.32,"C++, Java, Machine Learning, SQL",IoT,"Portfolio Website, Chatbot Assistant","Google Data Analytics, AWS Cloud Practitioner, Cisco Networking Basics",AI Engineer
S00091,B.Arch,Architecture,6.92,"Revit, SketchUp, AutoCAD","Data Science, Business Analytics","3D City Design, Urban Housing Layout, Bridge Design Simulation","Urban Design Certification, 3DS Max Design, Autodesk AutoCAD Certification",Architect
S00092,MBA,Pharmacy,8.4,"Excel, Digital Marketing, Business Analysis",Networking,"Market Analysis Project, Startup Business Plan, Finance Forecasting Model","Project Management Professional, Six Sigma, Google Business Analytics",Product Manager
S00093,M.Pharm,Pharmacy,8.43,"Pharmacology, Clinical Trials, Research",Pharma Research,"Pharma R&D Project, Drug Formulation Study","Advanced Pharmacology, Clinical Data Management, Quality Assurance Certification",Pharma Researcher
S00094,M.Tech,IT,8.04,"Deep Learning, PyTorch, AI, Data Analysis",IoT,"AI-based Energy Optimization, Smart Grid Simulation, Deep Learning Research","Deep Learning Specialization, Big Data Hadoop, TensorFlow Developer",AI Engineer
S00095,B.Tech,CE,6.94,"C++, HTML, Java, Python, JavaScript","Pharma Research, Web Development","Chatbot Assistant, Portfolio Website, Loan Prediction Model","Cisco Networking Basics, Google Data Analytics",Web Developer
S00096,B.Tech,EEE,9.45,"Machine Learning, AutoCAD, CSS, JavaScript","Robotics, AI","IoT Home Automation, E-commerce Backend","Microsoft Azure Fundamentals, AWS Cloud Practitioner",AI Engineer
S00097,B.Arch,Architecture,7.7,"Urban Planning, 3D Modeling, Architectural Design, SketchUp",Cybersecurity,"Bridge Design Simulation, Green Building Model, 3D City Design","Urban Design Certification, Autodesk AutoCAD Certification",Architect
S00098,M.Pharm,Pharmacy,6.7,"Research, Pharmacology, Clinical Trials, Drug Formulation","Robotics, Cybersecurity","Pharma R&D Project, Clinical Data Analytics, Drug Formulation Study","Clinical Data Management, Advanced Pharmacology, Quality Assurance Certification",Pharma Researcher
S00099,MBA,ME,8.49,"Excel, Project Management, Digital Marketing",AI,"Finance Forecasting Model, Market Analysis Project","Project Management Professional, Six Sigma",Product Manager
S00100,B.Arch,Architecture,7.41,"AutoCAD, Architectural Design, SketchUp, Revit, 3D Modeling","Civil Planning, Cybersecurity","3D City Design, Bridge Design Simulation","Urban Design Certification, Revit Professional, 3DS Max Design",Architect
S00101,B.Tech,CSE,8.87,"AutoCAD, CSS, C++, Java","Business Analytics, Cybersecurity","E-commerce Backend, IoT Home Automation","AWS Cloud Practitioner, Google Data Analytics, Microsoft Azure Fundamentals",Mechanical Designer
S00102,MBA,ECE,9.5,"Excel, Digital Marketing, Leadership, Project Management",Networking,"HR Analytics, Market Analysis Project, Finance Forecasting Model","Digital Marketing Certification, Project Management Professional, Google Business Analytics",Product Manager
S00103,M.Tech,Pharmacy,6.1,"Data Analysis, TensorFlow, PyTorch, Deep Learning, Python",Robotics,"NLP Chatbot System, Smart Grid Simulation, Deep Learning Research","TensorFlow Developer, Big Data Hadoop, IBM AI Engineering",AI Engineer
S00104,MBA,Pharmacy,8.65,"Business Analysis, Leadership, SQL, Excel","Networking, AI","Startup Business Plan, Finance Forecasting Model","Digital Marketing Certification, Six Sigma",Product Manager
S00105,M.Tech,CE,9.7,"PyTorch, AI, Python, Research, Deep Learning","Web Development, Pharma Research","AI-based Energy Optimization, Smart Grid Simulation, NLP Chatbot System","IBM AI Engineering, Deep Learning Specialization",AI Engineer
S00106,MCA,CE,9.29,"Java, Data Structures, Web Development, Node.js, Django","Pharma Research, App Development","Web Application System, Online Exam Portal, Inventory Management System","Full Stack Developer Cert, Meta Front-End Developer, Coursera Python for Everybody",Web Developer
S00107,B.Tech,CSE,6.62,"JavaScript, Cloud Computing, SQL, Java",Civil Planning,"IoT Home Automation, Chatbot Assistant, Loan Prediction Model","Google Data Analytics, AWS Cloud Practitioner, Cisco Networking Basics",Web Developer
S00108,B.Arch,Architecture,7.75,"AutoCAD, Urban Planning, Revit","Urban Design, IoT","3D City Design, Green Building Model","Revit Professional, Autodesk AutoCAD Certification, Urban Design Certification",Architect
S00109,MBA,Pharmacy,9.43,"Excel, SQL, Project Management, Digital Marketing","App Development, Product Management","Market Analysis Project, Finance Forecasting Model, Startup Business Plan","Six Sigma, Digital Marketing Certification, Project Management Professional",Product Manager
S00110,MBA,ECE,9.44,"Digital Marketing, Project Management, SQL, Excel, Business Analysis",Urban Design,"HR Analytics, Finance Forecasting Model","Project Management Professional, Digital Marketing Certification, Google Business Analytics",Product Manager
S00111,B.Arch,Architecture,9.22,"Urban Planning, Architectural Design, AutoCAD, 3D Modeling, Revit","Civil Planning, Product Management","3D City Design, Urban Housing Layout, Green Building Model","Autodesk AutoCAD Certification, Urban Design Certification",Architect
S00112,B.Arch,Architecture,9.14,"3D Modeling, SketchUp, Architectural Design, Urban Planning, Revit",IoT,"Bridge Design Simulation, Green Building Model, 3D City Design","Urban Design Certification, Autodesk AutoCAD Certification, Revit Professional",Architect
S00113,B.Tech,Architecture,8.28,"Python, JavaScript, Machine Learning, HTML, AutoCAD",Business Analytics,"E-commerce Backend, Chatbot Assistant","Cisco Networking Basics, Google Data Analytics",AI Engineer
S00114,M.Tech,CSE,8.23,"Deep Learning, Big Data, Python, TensorFlow, Research","Web Development, IoT","NLP Chatbot System, Smart Grid Simulation","TensorFlow Developer, Deep Learning Specialization, Big Data Hadoop",AI Engineer
S00115,MCA,CE,9.89,"Node.js, React, Django, Python","Networking, Civil Planning","Inventory Management System, React Dashboard, Online Exam Portal","Meta Front-End Developer, Full Stack Developer Cert",Web Developer
S00116,M.Tech,ME,9.01,"TensorFlow, Data Analysis, AI, Big Data, Research","Civil Planning, Networking","Smart Grid Simulation, AI-based Energy Optimization, Deep Learning Research","Deep Learning Specialization, TensorFlow Developer, IBM AI Engineering",Product Manager
S00117,B.Tech,CE,9.6,"Machine Learning, JavaScript, SQL, C++, Cloud Computing","Networking, Business Analytics","Portfolio Website, Loan Prediction Model, IoT Home Automation","AWS Cloud Practitioner, Google Data Analytics",AI Engineer
S00118,MCA,EEE,8.49,"Java, React, Django","Data Science, Pharma Research","Web Application System, Inventory Management System","Full Stack Developer Cert, Coursera Python for Everybody",Web Developer
S00119,M.Tech,ME,7.25,"Python, AI, Big Data, PyTorch, Deep Learning",Web Development,"Deep Learning Research, AI-based Energy Optimization, NLP Chatbot System","IBM AI Engineering, Deep Learning Specialization, Big Data Hadoop",AI Engineer
S00120,B.Tech,ME,8.22,"HTML, Machine Learning, JavaScript","Web Development, Networking","IoT Home Automation, Portfolio Website, Loan Prediction Model","AWS Cloud Practitioner, Microsoft Azure Fundamentals, Cisco Networking Basics",AI Engineer
S00121,B.Pharm,Pharmacy,6.73,"Lab Techniques, Drug Safety, Biostatistics, Pharmaceutical Chemistry, Quality Control","IoT, Networking","Pharma Drug Stability Study, Tablet Dissolution Test, Clinical Research Report","Pharma Quality Cert, Clinical Research Certification",Quality Assurance Engineer
S00122,M.Tech,CSE,7.02,"Big Data, AI, Research","Robotics, Urban Design","Smart Grid Simulation, NLP Chatbot System","IBM AI Engineering, TensorFlow Developer, Deep Learning Specialization",Data Analyst
S00123,MBA,AI,9.6,"Digital Marketing, Excel, SQL, Business Analysis, Leadership",Web Development,"Startup Business Plan, Finance Forecasting Model, HR Analytics","Six Sigma, Google Business Analytics, Project Management Professional",Product Manager
S00124,B.Pharm,Pharmacy,8.94,"Drug Safety, Biostatistics, Lab Techniques","Data Science, Urban Design","Pharma Drug Stability Study, Clinical Research Report","Pharma Quality Cert, Clinical Research Certification",Quality Assurance Engineer
S00125,MBA,IT,8.65,"Leadership, Project Management, Excel, Digital Marketing, Business Analysis",Cybersecurity,"Finance Forecasting Model, Startup Business Plan","Six Sigma, Google Business Analytics",Product Manager
